0.0167103,0.0160041,0.0125304,0.00765527,0.00341916,0.00173179,0.00176792,0.00128611,0.001099,0.00120668,0.00128525,0.00197939
0.0327168,0.0378387,0.0330906,0.016105,0.0109142,0.00979096,0.00635682,0.00441205,0.00960606,0.0118498,0.00657648,0.00622232
0.023338,0.0235183,0.0211943,0.0162659,0.0145226,0.0132434,0.00652062,0.00479487,0.00540465,0.00899983,0.00599794,0.00486757
0.00836435,0.00952408,0.00902637,0.0103184,0.0112699,0.00937606,0.00492129,0.00196265,0.00423071,0.0073301,0.00312816,0.00428396
0.0066433,0.0139289,0.0122514,0.00574093,0.00771734,0.0128209,0.00940197,0.00235789,0.00362916,0.00886077,0.0138082,0.00881963
0.037038,0.0419267,0.0294263,0.0195008,0.024781,0.0222569,0.0495165,0.0599425,0.0447488,0.0442102,0.0607487,0.0627164
0.0088254,0.00698232,0.0142069,0.0134921,0.00952695,0.0159489,0.0156246,0.0236696,0.0180565,0.0111141,0.011962,0.0146465
0.00522738,0.0118075,0.0158416,0.00685925,0.00455288,0.0126875,0.0115211,0.00397531,0.00502707,0.00650742,0.0184167,0.0180926
0.00606231,0.00402698,0.00488759,0.0033318,0.00580151,0.00859842,0.00877826,0.00773137,0.0068866,0.0081005,0.0076972,0.00771999
0.00463583,0.00505085,0.00575134,0.002487,0.00373743,0.00576244,0.00470246,0.00332765,0.00262441,0.00429617,0.00371247,0.00302492
0.00866482,0.0122465,0.0169754,0.0107398,0.0138382,0.0160825,0.00994343,0.0100717,0.00698069,0.0203371,0.0172209,0.0175015
0.00351449,0.00753616,0.00953205,0.00830273,0.00579372,0.0105692,0.00722187,0.00290398,0.00585082,0.00786584,0.00548214,0.00380185
0.0263626,0.0264648,0.0289009,0.0270712,0.0277611,0.0310714,0.0255774,0.0215218,0.0232198,0.0250999,0.0182793,0.015429
0.074545,0.0618014,0.0534559,0.068174,0.0787591,0.0784967,0.0811953,0.0699883,0.0521216,0.0475634,0.0453899,0.0511418
0.0793841,0.0640193,0.0441539,0.0592994,0.060423,0.0586474,0.0539942,0.0590341,0.0387652,0.0524768,0.0418043,0.0502934
